Rooms,Competitions,Time,Day
A1,App Dev,02:30-05:00,1
A2,App Dev,02:30-05:00,1
A3,App Dev,02:30-05:00,1
A4,Web Dev,10:30-01:00,1
A4,Web Dev,02:30-05:00,1
A5,Web Dev,10:30-01:00,1
A5,Web Dev,02:30-05:00,1
A6,Web Dev,10:30-01:00,1
A6,Web Dev,02:30-05:00,1
A7,Scavenger Hunt,All Day,1
Basketball Court,Robotics Competitions,All day,1
C16,Dumb Charades,All Day,1
C16,Taboo,All Day,1
C17,Scavenger Hunt,All Day,1
C17,Chess,All Day,1
C18,Scavenger Hunt,All Day,1
C19,Pseudowar,10:30-12:30,1
C20 ,Pseudowar,10:30-12:30,1
C20 ,Taboo,All day,1
C21,Pseudowar,10:30-12:30,1
D24,Esports(FIFA),All Day,1
D25,AI Showdown,11:00 - 01:00,1
D26,AI Showdown,11:00 - 01:00,1
D27,AI Showdown,11:00 - 01:00,1
D28,AI Showdown,11:00 - 01:00,1
E1,Speed Debugging,10:30-12:00,1
E2,Speed Debugging,10:30-12:00,1
E29,App Dev,10:30-01:00,1
E3,Speed Debugging,10:30-12:00,1
E30,App Dev,10:30-01:00,1
E30,Scavenger Hunt,All Day,1
E33,Scavenger Hunt,All Day,1
E34,Scavenger Hunt,All Day,1
E35,Scavenger Hunt,All Day,1
EE Ground,Food Stalls +Seating Area,All day,1
EWS Lab -EE,Speed Soldering,All day,1
Lab 11,Code Sprint,02:00-05:00,1
Lab 7,Block chain Blitz,10:30 - 12:30,1
Lab1,Competitive Programming,10:30-02:00,1
Lab10,Database Design,10:30 – 1:00,1
Lab11,UI/UX,10:30 – 2:00,1
Lab11,Code Sprint,02:00-05:00,1
Lab12,Database Design,10:30 – 1:00,1
Lab13,UI/UX,10:30 – 2:00,1
Lab2,Competitive Programming,10:30-02:00,1
Lab4,Competitive Programming,10:30-02:00,1
Lab5,Competitive Programming,10:30-02:00,1
Lab5,CITD,2:30 – 5:00,1
Lab6,AutoCad,All day,1
Lab8,Chat Craft,10:30-02:00,1
Lab8,CITD,2:30 – 5:00,1
MPI Lab,Hardware Exhibition,All Day,1
New BCR,esports,All day,1
Old BCR ,esports,All day,1
R11,Startup Showdown,All Day,1
R12,Startup Showdown,All Day,1
Reading Hall(E Floor),Game Dev ,10:30 - 01:00,1
S2,Hackathon,10:30 – 2:00,1
A8 ,none ,none ,1
B9 ,none ,none ,1
B10,none ,none ,1
B11,none ,none ,1
C12,none ,none ,1
C13,none ,none ,1
C14,none ,none ,1
C15,none ,none ,1
C22,none ,none ,1
D23,none ,none ,1
E31,none ,none ,1
E32,none ,none ,1
