Unnamed: 0,Unnamed: 1,DAY 01,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64
,,R109,Lab 1,Lab 2,Lab 4,Lab 5,Lab 6,Lab 7,Lab 8,Lab 10,Lab 11,Lab 12,Lab 13,S2,E1,E2,E3,E4,E5,E6,R11,R12,FYP Lab,NEW BCR - EE,EE Conference Room,Old BCR,A1,A2,A3,A4,A5,A6,B9,B10,B11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,D23,D24,D25,D26,D27,D28,E29 ,E30,E31,E32,E33,E34,E35,New Building Outside Audi,EE Ground,Basketball Ground,EWS -EE ,MPI Lab
,09:00:00,RESOURCE ROOM,OPENING CEREMONY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10:30:00,,Preparation for Starting competitions on time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11:00:00,,Competitive Programmming Round 1 ,,,,AutoCad,Block Chain Blitz,Chat Craft Round 1 ,Database Design,UI/UX,Database Design,UI/UX,Session For College Students,Speed Debugging Round 1,,,Pseudowar,,,Fitness Session,Startup Showdown,,Esports,,,APP DEV ,,,Web DEV ,,,,Scavenger Hunt,,,,,,,Scavenger Hunt,,,Taboo + Dumb Charades,HACKATHON,,Photography and reels,,AI Showdown,,,,,Scavenger Hunt,,,,,,Game Dev,Food Stalls + Seating Area,Robo War + Robo Sumo + Robo Soccer + Line Following Robot 2 Arena's,Circuit Soldering,Hardware Exhibition
,11:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02:30:00,,,,,,,,,Code Sprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,03:00:00,,,,,CITD,,,CITD,,,,,,,,,,,,,,,,,,APP DEV,,,WEB DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,03:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,04:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,04:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,05:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
