Unnamed: 0,Unnamed: 1
Competitive Programming,
IN,OUT
CITD,App Dev
Code Sprint,Web Dev
Chess,Game Dev
Esports,Pseudowar
Hackathon,AI Showdown
Photography and Reels,Blockchain Blitz
Dumb Charades,Chat Craft
,Database Design
,UI/UX
,Speed Debugging
,
Speed Debugging,
IN,OUT
Code Sprint,Competitive Programming
Hackathon,Blockchain Blitz
Esports,Chat Craft 
CITD,Database Design
Taboo,Pseudowar
Hackathon,
Photography and Reels,
Dumb Charades,
,
Hackathon,
IN,OUT
Speed Debugging,Speed programming
Web Development,Data Science
DB Design,CITD
Chess,UI UX
Photography and Reels,Mobile Development
Dumb Charades - Taboo,Block Chain
,
,
,
,
CTF,
IN,OUT
Database Design,Speed Debugging
Pseudowar,DB Design
CITD,UI UX
UI/UX,Mobile Development
Speed Debugging,CITD
Esports,
,
,
,
,
Data Base Design,
IN,OUT
CITD,Speed Debugging
Code Sprint,Competitive Programming
Photography and Reels,UI UX
Dumb Charades,App Development
Chess,Web Development 
Photography and Reels,Bloch Chain
Dumb Charades,
,
,
,
Web Development,
IN,OUT
Speed Programming,Math Olympiad
Hackathon,Blockchain
Photography and Reels,Data Science
Dumb Charades,Speed Debugging
Chess,
Taboo,
