Day 01,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Rooms,Competition,Time,Competition_2,Time_2
E1-E2-E3,Speed Debugging,10:30-12:00,,
,,,,
E4-E5-E6,Pseudowar,10:30-12:30,,
,,,,
A1-A3,App Dev,10:30-01:00,App Dev,02:30 - 05:00
,,,,
A4-A6,Web Dev,10:30-01:00,Web Dev,02:30 - 05:00
,,,,
A7,FREE,,,
B9,,,,
B10,Scavenger Hunt,All Day,,
B11,FREE,,,
C12,,,,
C13,,,,
C14 C15,,,,
,,,,
C17,Scavenger Hunt,All Day,,
C16,,,,
C18,Hackathon,All day,,
C19,,,,
C20 ,Taboo,All day,,
,,,,
C21 C22,Hackathon,All Day,,
D23 D24,Photography and Reels,All day,,
,,,,
D25 D26 D27 D28,AI Showdown,11:00 - 01:00,,
,,,,
,,,,
,,,,
E29,FREE,,,
E30,Scavenger Hunt,All Day,,
E31,FREE,,,
E32,,,,
E33,,,,
E34,,,,
E35,,,,
,,,,
Labs,,,,
Lab1,Competitive Programming,10:30-02:00,,
Lab2,,,,
Lab4,,,,
Lab5,,,CITD,03:00-05:00
Lab6,AutoCad,All day,,
Lab10,Database Design,10:30-12:30,,
Lab8,Chat Craft,10:30-02:00,CITD,03:00-05:00
Lab 3 (FYP),,,,
Lab 7,Block chain Blitz,10:30 - 12:30,Code Sprint,02:00-05:00
Lab11,UI/UX,10:30-01:00,Code Sprint,02:00-05:00
Lab12,Database Design,10:30-12:30,Code Sprint,02:00-05:00
Lab 13,UI/UX,10:30-01:00,Code Sprint,02:00-05:00
EWS Lab -EE,Speed Soldering,All day,,
MPI Lab,Hardware Exhibition,All Day,,
,,,,
Old BCR ,esports,,,
EE Conference Room,,,,
Basketball Court,Robotics Competitions,All day,,
New Building,Game Dev ,10:30 - 01:00,,
Masjid Ground,,,,
EE Ground,Food Stalls +Seating Area,,,
